Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
31250	379	334	3525101	6	32	0	0	490410	258	149	3568136	686173	5	1	510688	24	229006	0	178025	437722
31500	399	320	3542157	7	46	0	0	486257	251	599	3600234	696076	8	1	513564	56	237367	0	188406	430141
31750	342	298	3572704	24	10	0	1	488842	206	155	3650257	725458	8	0	512230	222	231945	1	184928	439950
32000	404	281	3581060	19	87	0	1	503397	279	2	3673403	775876	9	0	492574	148	242667	0	179440	445412
32250	349	301	3657743	97	25	0	140	508530	148	5	3698558	755801	9	0	504086	217	250560	0	187202	451002
32500	334	320	3755385	52	6	0	176	510612	268	4	3731735	798226	44	1	581843	256	252969	2	182931	469514
32750	356	318	3742775	63	54	0	28	502657	254	6	3773291	810671	113	30	575704	69	246576	0	183703	456925
33000	332	333	3790894	67	18	1	2	509611	470	2	3787664	734676	27	0	551949	3769	249696	0	189510	459048
33250	436	348	3806856	121	42	0	1	512069	377	25	3837485	797778	33	0	553342	168	246580	5	192551	466821
33500	595	282	3844596	71	14	0	0	521505	256	6	3956286	765348	9	0	545721	32	262436	0	203670	473447
33750	483	323	3850550	118	13	0	1	520917	237	61	3838128	827444	18	0	547713	62	261747	2	194972	477653
34000	468	326	3972471	58	7	12	9	529612	216	0	3904359	814952	39	33	561694	31	267456	0	197369	466475
34250	431	385	3895078	31	8	11	12	545227	137	6	3922149	801208	30	0	570642	19	266793	1	199801	468235
34500	473	353	3918742	41	49	0	1	528084	125	35	3991283	934975	19	0	564701	64	257888	0	204110	481062
34750	454	278	3970613	50	52	0	0	542295	118	40	3989759	798348	16	0	564296	27	268221	19	198164	489156
35000	511	368	3981527	70	64	11	0	565394	109	59	3973855	820055	10	0	578858	24	261784	0	203904	491891
35250	434	353	4063148	42	63	1	0	577726	134	44	4097984	847188	19	0	574026	97	271911	38	200611	490883
35500	456	304	4047471	96	63	0	0	570320	112	62	4084140	879507	15	0	579372	25	262477	1	207212	512617
